Country,fleet,subfleet,species,N,mean.q,sd,se,upper,lower
non-UK,Otter,TR2,POK,11,1.68E-11,1.37E-11,4.13E-12,2.49E-11,8.74E-12
non-UK,Otter,TR2,SAN,11,3.64E-11,7.22E-11,2.18E-11,7.91E-11,-6.27E-12
non-UK,Otter,TR2,SOL,11,9.68E-10,2.64E-10,7.96E-11,1.12E-09,8.12E-10
non-UK,Otter,TR2,SPR,11,1.12E-12,3.44E-12,1.04E-12,3.15E-12,-9.11E-13
non-UK,Otter,TR2,WHG,11,2.65E-08,4.95E-08,1.49E-08,5.57E-08,-2.74E-09
non-UK,Pelagic,PEL_SEINE,COD,11,1.71E-12,5.66E-12,1.71E-12,5.05E-12,-1.64E-12
non-UK,Pelagic,PEL_SEINE,HER,11,4.74E-09,1.84E-09,5.56E-10,5.83E-09,3.65E-09
non-UK,Pelagic,PEL_SEINE,JAX,11,5.64E-11,9.21E-11,2.78E-11,1.11E-10,1.91E-12
non-UK,Pelagic,PEL_SEINE,MAC,11,5.90E-09,2.30E-09,6.93E-10,7.26E-09,4.54E-09
non-UK,Pelagic,PEL_SEINE,NOP,11,4.51E-11,9.45E-11,2.85E-11,1.01E-10,-1.07E-11
non-UK,Pelagic,PEL_SEINE,PLE,11,2.96E-11,9.81E-11,2.96E-11,8.76E-11,-2.84E-11
non-UK,Pelagic,PEL_SEINE,POK,11,7.85E-13,1.68E-12,5.07E-13,1.78E-12,-2.10E-13
non-UK,Pelagic,PEL_SEINE,SPR,11,1.54E-10,5.10E-10,1.54E-10,4.55E-10,-1.47E-10
non-UK,Pelagic,PEL_SEINE,WHG,11,1.35E-12,4.46E-12,1.35E-12,3.98E-12,-1.29E-12
non-UK,Pelagic,PEL_TRAWL,COD,11,5.87E-11,3.52E-11,1.06E-11,7.95E-11,3.79E-11
non-UK,Pelagic,PEL_TRAWL,HAD,11,8.97E-12,1.38E-11,4.16E-12,1.71E-11,8.19E-13
non-UK,Pelagic,PEL_TRAWL,HER,11,5.79E-09,1.50E-09,4.52E-10,6.67E-09,4.90E-09
non-UK,Pelagic,PEL_TRAWL,JAX,11,8.17E-10,5.54E-10,1.67E-10,1.14E-09,4.89E-10
non-UK,Pelagic,PEL_TRAWL,MAC,11,1.76E-09,4.01E-10,1.21E-10,2.00E-09,1.52E-09
non-UK,Pelagic,PEL_TRAWL,NOP,11,1.66E-09,3.34E-09,1.01E-09,3.64E-09,-3.07E-10
non-UK,Pelagic,PEL_TRAWL,PLE,11,1.62E-12,1.68E-12,5.07E-13,2.61E-12,6.22E-13
non-UK,Pelagic,PEL_TRAWL,POK,11,1.29E-11,2.01E-11,6.07E-12,2.48E-11,9.64E-13
non-UK,Pelagic,PEL_TRAWL,SAN,11,4.27E-09,2.55E-09,7.69E-10,5.78E-09,2.76E-09
non-UK,Pelagic,PEL_TRAWL,SOL,11,7.04E-13,1.57E-12,4.73E-13,1.63E-12,-2.24E-13
non-UK,Pelagic,PEL_TRAWL,SPR,11,6.53E-08,3.56E-08,1.07E-08,8.63E-08,4.42E-08
non-UK,Pelagic,PEL_TRAWL,WHG,11,6.46E-11,8.92E-11,2.69E-11,1.17E-10,1.19E-11
non-UK,Static,GN1,COD,11,1.46E-08,6.23E-09,1.88E-09,1.83E-08,1.09E-08
non-UK,Static,GN1,HAD,11,1.35E-10,4.57E-11,1.38E-11,1.62E-10,1.08E-10
non-UK,Static,GN1,HER,11,5.04E-12,1.16E-11,3.48E-12,1.19E-11,-1.79E-12
non-UK,Static,GN1,JAX,11,4.95E-14,8.17E-14,2.46E-14,9.78E-14,1.15E-15
non-UK,Static,GN1,MAC,11,5.09E-13,6.33E-13,1.91E-13,8.83E-13,1.35E-13
non-UK,Static,GN1,NOP,11,6.49E-14,2.15E-13,6.49E-14,1.92E-13,-6.23E-14
non-UK,Static,GN1,PLE,11,4.10E-09,6.41E-09,1.93E-09,7.89E-09,3.13E-10
non-UK,Static,GN1,POK,11,1.07E-10,1.63E-10,4.92E-11,2.04E-10,1.08E-11
non-UK,Static,GN1,SOL,11,9.22E-09,1.04E-09,3.15E-10,9.83E-09,8.60E-09
non-UK,Static,GN1,SPR,11,1.41E-10,2.38E-10,7.17E-11,2.82E-10,7.76E-13
non-UK,Static,GN1,WHG,11,8.09E-11,1.94E-10,5.84E-11,1.95E-10,-3.35E-11
non-UK,Static,GT1,COD,11,2.70E-09,1.55E-09,4.67E-10,3.62E-09,1.79E-09
non-UK,Static,GT1,HAD,11,9.26E-12,5.03E-12,1.52E-12,1.22E-11,6.29E-12
non-UK,Static,GT1,HER,11,1.56E-13,3.13E-13,9.42E-14,3.40E-13,-2.92E-14
non-UK,Static,GT1,JAX,11,5.38E-14,7.55E-14,2.28E-14,9.85E-14,9.17E-15
non-UK,Static,GT1,MAC,11,5.30E-13,1.18E-12,3.56E-13,1.23E-12,-1.68E-13
non-UK,Static,GT1,NOP,11,1.52E-13,4.91E-13,1.48E-13,4.43E-13,-1.38E-13
non-UK,Static,GT1,PLE,11,3.48E-09,3.78E-09,1.14E-09,5.71E-09,1.25E-09
non-UK,Static,GT1,POK,11,3.12E-11,7.51E-11,2.27E-11,7.56E-11,-1.32E-11
non-UK,Static,GT1,SOL,11,1.42E-08,4.10E-09,1.24E-09,1.67E-08,1.18E-08
non-UK,Static,GT1,SPR,11,5.49E-12,1.82E-11,5.49E-12,1.63E-11,-5.27E-12
non-UK,Static,GT1,WHG,11,5.76E-11,1.00E-10,3.02E-11,1.17E-10,-1.65E-12
non-UK,Static,LL1,COD,11,2.47E-08,1.60E-08,4.84E-09,3.41E-08,1.52E-08
