Year,SPR,NOP,SAN,POD,PLA,DAB,HER,HOM,LEM,SOL,MAC,WHG,WIT,GUG,PLE,RJR,HAD,RJN,MON,COD,POK
1919,1.299967563,0.696632714,0.459073942,0.27343375,0.368723436,0.379508106,0.167096606,0.028749018,0.319549539,0.60654576,0.126013361,0.439087057,0.374208775,0.272580343,0.627269039,0.376191527,0.877947292,0.368103573,0.275256674,0.226298411,0.511775849
1920,1.692843743,0.908713697,0.567152988,0.365915057,0.486786329,0.496849329,0.209984383,0.036941348,0.421063357,0.79722956,0.157249742,0.560610296,0.492273931,0.367516588,0.832136905,0.496472611,1.198737988,0.482840717,0.369673081,0.291779621,0.677344496
1921,1.814920315,0.98702607,0.568802646,0.386854439,0.481374445,0.492103133,0.218717871,0.03915862,0.419499624,0.774952682,0.157304925,0.627648838,0.487002857,0.386712595,0.861069477,0.490806855,1.188439852,0.477874663,0.393966403,0.341194925,0.698269558
1922,1.739477763,0.931969375,0.54424747,0.349806167,0.432045971,0.440755576,0.20188685,0.037437803,0.384966476,0.691902822,0.148940432,0.626102545,0.437674949,0.34870513,0.782523782,0.441341946,0.954649953,0.429391416,0.356185815,0.398759109,0.633851495
1923,1.515967829,0.783852699,0.499763922,0.303699963,0.371912899,0.378792266,0.183338835,0.032346272,0.333766089,0.596442515,0.132660356,0.584633949,0.376169704,0.302109993,0.644969171,0.379908668,0.681907168,0.369431717,0.307341606,0.372245742,0.543440149
1924,1.492522255,0.771324839,0.487336268,0.314259438,0.373893917,0.380606638,0.188351635,0.031962306,0.339439101,0.592892251,0.132273934,0.588143772,0.37995342,0.312970387,0.62358712,0.381108639,0.690592825,0.372820554,0.31678642,0.348151178,0.55651512
1925,1.673793814,0.856853431,0.570808207,0.347024617,0.438588309,0.447173766,0.198662265,0.034750432,0.400807681,0.675245836,0.146709787,0.646252496,0.444662768,0.346302239,0.698048663,0.449477571,0.828077,0.437581629,0.350667869,0.362993633,0.630192611
1926,1.621933145,0.910723298,0.604219847,0.341745069,0.464590352,0.470559235,0.204261774,0.035242596,0.425957794,0.689743506,0.160763866,0.637982416,0.471994898,0.342222482,0.763577306,0.472581936,0.832093775,0.463243239,0.344862526,0.397200537,0.666477793
1927,1.822350289,1.077947051,0.705638452,0.38456299,0.522358583,0.530892773,0.237812183,0.037607086,0.482834227,0.787872792,0.18381436,0.646771271,0.528983655,0.384598185,0.843669317,0.532234386,1.026147873,0.518026982,0.386757417,0.452178841,0.729118927
1928,1.996911041,1.19452947,0.834038696,0.432739846,0.545937941,0.556718419,0.260302963,0.039085554,0.508427571,0.801560381,0.201269095,0.743779373,0.556097679,0.431593645,0.916900463,0.559068647,1.071334466,0.545485665,0.436329844,0.458539714,0.788762127
1929,2.010742296,1.293202616,0.913205991,0.496227347,0.592993894,0.60324753,0.280681809,0.040896217,0.552593375,0.865715846,0.222209473,0.777248601,0.606112589,0.49306206,1.046123208,0.60729152,1.114318012,0.592892664,0.496778291,0.455522576,0.855328249
1930,1.820804592,1.290201484,0.840005002,0.435085986,0.557257291,0.57083852,0.25431585,0.039499268,0.516608431,0.804117878,0.203865115,0.750115205,0.567241474,0.434129727,1.11177844,0.57148663,0.942820107,0.559945677,0.438681833,0.533302643,0.832984554
1931,1.878203619,1.251419425,0.788928966,0.436315485,0.55151578,0.563166753,0.246513742,0.04024543,0.515926421,0.792258608,0.200289247,0.710377219,0.560753711,0.433185722,0.994788169,0.562013838,0.995447718,0.552390176,0.438299361,0.485727973,0.83381556
